vacancy_name,experience,lvl,views,applications,part_of_url,technologies
backend engineer,3,middle/senior,157,44,https://djinni.co/jobs/510393-python-backend-engineer/,"['python', 'ux', 'api', 'numpy', 'pandas', 'ai', 'docker', 'flask']"
engineer,3,middle/senior,76,0,https://djinni.co/jobs/473617-python-django-engineer/,"['aws', 'jira', 'python', 'ux', 'rest', 'django', 'docker']"
developer,3,middle/senior,101,9,https://djinni.co/jobs/510263-python-django-developer/,"['django', 'python']"
developer fullstack,3,middle/senior,35,3,https://djinni.co/jobs/510207-senior-middle-fullstack-django-react-develope/,"['django', 'react', 'python', 'fullstack']"
developer,3,middle/senior,160,42,https://djinni.co/jobs/510206-python-developer/,"['postgresql', 'python', 'rest', 'api', 'django']"
engineer software,3,middle/senior,84,4,https://djinni.co/jobs/510159-middle-software-engineer-python-/,"['aws', 'python', 'api', 'redis', 'orm', 'flask', 'fastapi']"
developer,3,middle/senior,78,12,https://djinni.co/jobs/489172-python-developer/,"['postgresql', 'python', 'api', 'git', 'sql']"
engineer software,3,middle/senior,40,1,https://djinni.co/jobs/458057-software-testing-verification-engineer-python/,"['python', 'networking', 'linux', 'docker', 'bash']"
developer lead team,3,middle/senior,32,3,https://djinni.co/jobs/510099-team-lead-python-developer/,"['sqlalchemy', 'postgresql', 'python', 'algorithms', 'pytest', 'ai', 'redis', 'javascript', 'fastapi', 'docker', 'sql']"
developer,3,middle/senior,113,6,https://djinni.co/jobs/509950-python-developer/,"['nosql', 'api', 'linux', 'microservice', 'ai', 'docker', 'sql']"
backend developer,3,middle/senior,59,3,https://djinni.co/jobs/509949-backend-developer-python-/,"['nosql', 'python', 'api', 'linux', 'microservice', 'ai', 'docker', 'sql']"
backend developer,3,middle/senior,71,2,https://djinni.co/jobs/509929-backend-developer-python-/,"['nosql', 'api', 'linux', 'microservice', 'ai', 'docker', 'sql']"
developer,3,middle/senior,21,0,https://djinni.co/jobs/509617-rpa-and-python-developer-for-ai-and-rpa-start/,"['ux', 'python', 'ai']"
developer,3,middle/senior,19,1,https://djinni.co/jobs/509829-phyton-developer/,"['python', 'css', 'html', 'api', 'react', 'javascript', 'sql']"
engineer fullstack software,3,middle/senior,10,0,https://djinni.co/jobs/509657-senior-full-stack-software-engineer-python-re/,"['django', 'react', 'aws', 'python']"
devops,3,middle/senior,1,0,https://djinni.co/jobs/509484-senior-devops/,"['devops', 'laravel', 'aws', 'python', 'networking', 'git', 'docker', 'bash', 'terraform']"
developer,3,middle/senior,76,23,https://djinni.co/jobs/509446-senior-python-developer/,"['postgresql', 'python', 'linux', 'redis', 'docker']"
devops engineer,3,middle/senior,19,2,https://djinni.co/jobs/475797-senior-python-engineer-with-devops/,"['devops', 'postgresql', 'aws', 'python', 'rest', 'django', 'react', 'flask', 'docker', 'terraform', 'fastapi']"
developer,3,middle/senior,44,6,https://djinni.co/jobs/509250-senior-python-developer/,"['flask', 'django', 'microservice', 'python']"
developer fullstack,3,middle/senior,28,4,https://djinni.co/jobs/499073-full-stack-developer-python-flask-postgres-js/,"['sqlalchemy', 'python', 'react', 'flask', 'sql']"
developer,3,middle/senior,60,5,https://djinni.co/jobs/509224-sdet-python-dlia-kompaniyi-iaka-zaimaiet-sia-/,"['nosql', 'postgresql', 'python', 'oop', 'api', 'linux', 'mongodb', 'git', 'redis', 'ansible', 'docker', 'bash', 'sql']"
developer,3,middle/senior,70,17,https://djinni.co/jobs/509143-python-developer-middle-/,"['postgresql', 'python', 'beautifulsoup', 'html', 'linux', 'css', 'django', 'git', 'selenium', 'api', 'windows', 'js', 'docker']"
developer,3,middle/senior,44,6,https://djinni.co/jobs/499547-senior-python-developer-with-aws-certificate/,"['redis', 'terraform', 'aws', 'python']"
backend developer,3,middle/senior,3,0,https://djinni.co/jobs/471109-python-django-backend-developer/,"['json', 'nosql', 'oop', 'python', 'rest', 'microsoft', 'linux', 'mongodb', 'django', 'ux', 'api', 'sql']"
developer,3,middle/senior,40,2,https://djinni.co/jobs/508767-senior-python-developer/,"['postgresql', 'python', 'rest', 'api', 'mongodb', 'django', 'redis', 'docker', 'flask']"
engineer,3,middle/senior,28,4,https://djinni.co/jobs/498456-senior-python-engineer-saas-foundation/,"['postgresql', 'aws', 'python', 'asyncio', 'django', 'microservice', 'pandas', 'docker', 'sql']"
developer,3,middle/senior,15,3,https://djinni.co/jobs/498460-python-developer-uk-product-company-/,"['devops', 'postgresql', 'aws', 'rest', 'elasticsearch', 'react', 'git', 'ai', 'redis', 'javascript', 'js', 'docker', 'terraform', 'sql']"
engineer,3,middle/senior,113,31,https://djinni.co/jobs/508492-python-engineer-savannah-group-uk/,"['devops', 'python', 'rest', 'api', 'django', 'flask']"
engineer software,3,middle/senior,40,8,https://djinni.co/jobs/497068-python-software-engineer/,"['devops', 'postgresql', 'aws', 'python', 'api', 'linux', 'django', 'windows', 'docker', 'flask']"
developer,3,middle/senior,38,12,https://djinni.co/jobs/450703-senior-python-developer/,"['postgresql', 'python', 'oop', 'asyncio', 'algorithms', 'redis', 'js', 'flask', 'fastapi']"
developer,3,middle/senior,162,47,https://djinni.co/jobs/184635-python-developer/,"['python', 'ux', 'django', 'linux', 'ai', 'javascript', 'sql']"
